scan_id,scan_name,type,scanGroupId,carrier,carrierId,current_scan_group,proposed_scan_group,proposed_sg_gpt_gpt-4o-mini,proposed_sg_gpt_gpt-4o-mini_1,proposed_sg_gpt_gpt-4o-mini_2,proposed_sg_gpt_gpt-4o-mini_3,proposed_sg_gpt_gpt-4o-mini_4,proposed_sg_gpt_gpt-4o-mini_5,proposed_sg_gpt_gpt-4o-mini_6,proposed_sg_gpt_gpt-4o-mini_7
a late flight has caused a delay we re adjusting plans and working to deliver your package as quickly as possible-UPS UK-Delay due to flight cancelled or delayed,a late flight has caused a delay we re adjusting plans and working to deliver your package as quickly as possible,RegEx,86d838a1-97cc-41c6-b2ec-d671bd85b450,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delay due to flight cancelled or delayed,Delay due to flight cancelled or delayed,,,,,,,,
a late flight has caused a delay we will update the delivery date as soon as possible-UPS UK-Delay due to flight cancelled or delayed,a late flight has caused a delay we will update the delivery date as soon as possible,RegEx,86d838a1-97cc-41c6-b2ec-d671bd85b450,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delay due to flight cancelled or delayed,Delay due to flight cancelled or delayed,,,,,,,,
a flight delay occurred because of aircraft mechanical reasons-UPS UK-Delay due to flight cancelled or delayed,a flight delay occurred because of aircraft mechanical reasons,RegEx,86d838a1-97cc-41c6-b2ec-d671bd85b450,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delay due to flight cancelled or delayed,Delay due to mechanical failure,,,,,,,,
a flight cancelation has delayed delivery we re adjusting plans to deliver your package as quickly as possible-UPS UK-Delay due to flight cancelled or delayed,a flight cancelation has delayed delivery we re adjusting plans to deliver your package as quickly as possible,RegEx,86d838a1-97cc-41c6-b2ec-d671bd85b450,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delay due to flight cancelled or delayed,Delay due to flight cancelled or delayed,,,,,,,,
the receiver has moved ups attempting to locate receiver to complete delivery no delivery was made-UPS UK-Receiver moved,the receiver has moved ups attempting to locate receiver to complete delivery no delivery was made,RegEx,e6b9d6cf-c415-4708-afc1-66205ab85d88,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver moved,Receiver moved,,,,,,,,
the receiver has moved we re attempting to obtain a new delivery address-UPS UK-Receiver moved,the receiver has moved we re attempting to obtain a new delivery address,RegEx,e6b9d6cf-c415-4708-afc1-66205ab85d88,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver moved,Receiver moved,,,,,,,,
the package was damaged in transit we will notify the sender with details-UPS UK-Package damaged in transit,the package was damaged in transit we will notify the sender with details,RegEx,c00bf613-506c-423f-b34a-ac3a2ad1fc90,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package damaged in transit,Package damaged in transit,,,,,,,,
the package was damaged in transit ups will notify the sender with the details-UPS UK-Package damaged in transit,the package was damaged in transit ups will notify the sender with the details,RegEx,c00bf613-506c-423f-b34a-ac3a2ad1fc90,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package damaged in transit,Package damaged in transit,,,,,,,,
the package was damaged in transit ups will attempt to notify the sender with the details-UPS UK-Package damaged in transit,the package was damaged in transit ups will attempt to notify the sender with the details,RegEx,c00bf613-506c-423f-b34a-ac3a2ad1fc90,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package damaged in transit,Package damaged in transit,,,,,,,,
package damaged in transit-UPS UK-Package damaged in transit,package damaged in transit,RegEx,c00bf613-506c-423f-b34a-ac3a2ad1fc90,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package damaged in transit,Package damaged in transit,,,,,,,,
all merchandise is being delivered ups will notify the sender with details of the damage-UPS UK-Package damaged in transit,all merchandise is being delivered ups will notify the sender with details of the damage,RegEx,c00bf613-506c-423f-b34a-ac3a2ad1fc90,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package damaged in transit,Package damaged in transit,,,,,,,,
redirected package will be sorted to the destination site-UPS UK-Package has been re-directed to the destination,redirected package will be sorted to the destination site,RegEx,0675fba7-8474-4654-bce9-579e163a4595,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package has been re-directed to the destination,Package has been re-directed to the destination,,,,,,,,
our driver requires security access for this delivery we are attempting to obtain the access information label-UPS UK-Delivery attempted. Security access needed for delivery.,our driver requires security access for this delivery we are attempting to obtain the access information label,RegEx,b5abb73d-8d7b-4319-b849-3ca060076422,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery attempted. Security access needed for delivery.,Delivery attempted. Security access needed for delivery.,,,,,,,,
driver needs security access which must be obtained from resident-UPS UK-Delivery attempted. Security access needed for delivery.,driver needs security access which must be obtained from resident,RegEx,b5abb73d-8d7b-4319-b849-3ca060076422,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery attempted. Security access needed for delivery.,Delivery attempted. Security access needed for delivery.,,,,,,,,
the receiver s location was closed on the 2nd delivery attempt a 3rd delivery attempt will be made-UPS UK-2nd delivery attempt. Receiver not available.,the receiver s location was closed on the 2nd delivery attempt a 3rd delivery attempt will be made,RegEx,95933051-a6e3-4bd5-976b-0e780f887cbe,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,2nd delivery attempt. Receiver not available.,2nd delivery attempt. Receiver not available.,,,,,,,,
the receiver was not available at the time of the second delivery attempt a final attempt will be made label-UPS UK-2nd delivery attempt. Receiver not available.,the receiver was not available at the time of the second delivery attempt a final attempt will be made label,RegEx,95933051-a6e3-4bd5-976b-0e780f887cbe,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,2nd delivery attempt. Receiver not available.,2nd delivery attempt. Receiver not available.,,,,,,,,
the customer was not available on the 2nd attempt a 3rd attempt will be made-UPS UK-2nd delivery attempt. Receiver not available.,the customer was not available on the 2nd attempt a 3rd attempt will be made,RegEx,95933051-a6e3-4bd5-976b-0e780f887cbe,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,2nd delivery attempt. Receiver not available.,2nd delivery attempt. Receiver not available.,,,,,,,,
ups will contact the sender with details-UPS UK-Carrier to contact sender or receiver,ups will contact the sender with details,RegEx,7a5b24ed-fd04-44e5-813d-f94d49d07f91,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier to contact sender or receiver,Carrier to contact sender or receiver,,,,,,,,
ups will contact the sender and-UPS UK-Carrier to contact sender or receiver,ups will contact the sender and,RegEx,7a5b24ed-fd04-44e5-813d-f94d49d07f91,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier to contact sender or receiver,Carrier to contact sender or receiver,,,,,,,,
deliver to another address-UPS UK-Change of delivery address,deliver to another address,RegEx,a2d95bb0-21b2-43f1-aaa3-3c6cf6367765,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Change of delivery address,Change of delivery address,,,,,,,,
this delivery address is in a remote area where deliveries are not made daily-UPS UK-Address located in remote area where deliveries not made daily,this delivery address is in a remote area where deliveries are not made daily,RegEx,ddd24d12-0320-4c2b-bc05-82707a51871a,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Address located in remote area where deliveries not made daily,Address located in remote area where deliveries not made daily,,,,,,,,
the address is in a remote area and deliveries are not made daily-UPS UK-Address located in remote area where deliveries not made daily,the address is in a remote area and deliveries are not made daily,RegEx,ddd24d12-0320-4c2b-bc05-82707a51871a,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Address located in remote area where deliveries not made daily,Address located in remote area where deliveries not made daily,,,,,,,,
business closed for the weekend middle east weekend delivery delay due to different working practices-UPS UK-Delivery scheduled for next business day,business closed for the weekend middle east weekend delivery delay due to different working practices,RegEx,ee46b1a3-4ee8-4a98-8c25-ab08efbfe00a,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery scheduled for next business day,Delivery rescheduled due to holiday closures,,,,,,,,
package will be delivered next business day-UPS UK-Delivery scheduled for next business day,package will be delivered next business day,RegEx,ee46b1a3-4ee8-4a98-8c25-ab08efbfe00a,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery scheduled for next business day,Delivery scheduled for next business day,,,,,,,,
package is at destination distribution location scheduled delivery next business day-UPS UK-Delivery scheduled for next business day,package is at destination distribution location scheduled delivery next business day,RegEx,ee46b1a3-4ee8-4a98-8c25-ab08efbfe00a,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery scheduled for next business day,Arrival at delivery depot,,,,,,,,
package not released through clearing agency system document inspection required-UPS UK-Held for inspection by government agency,package not released through clearing agency system document inspection required,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
non customs government agency hold-UPS UK-Held for inspection by government agency,non customs government agency hold,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
a government agency has requested a hold for censorship review-UPS UK-Held for inspection by government agency,a government agency has requested a hold for censorship review,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
a government agency delayed the package during the aviation security screening-UPS UK-Held for inspection by government agency,a government agency delayed the package during the aviation security screening,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
government hold placed on shipment-UPS UK-Held for inspection by government agency,government hold placed on shipment,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
fish and wildlife agency hold-UPS UK-Held for inspection by government agency,fish and wildlife agency hold,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
a required regulatory inspection has delayed delivery we re working to deliver your package as quickly as possible-UPS UK-Held for inspection by government agency,a required regulatory inspection has delayed delivery we re working to deliver your package as quickly as possible,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
inspection requested by customs or ups-UPS UK-Held for inspection by government agency,inspection requested by customs or ups,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
pkg delay add l security check by gov t or other agency beyond ups control-UPS UK-Held for inspection by government agency,pkg delay add l security check by gov t or other agency beyond ups control,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
the receiver is on vacation delivery will be attempted when the receiver returns-UPS UK-Delivery rescheduled due to holiday closures,the receiver is on vacation delivery will be attempted when the receiver returns,RegEx,4b22eecd-bdb4-4030-a64b-f7f1f7a8bf37,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery rescheduled due to holiday closures,Package on hold for delivery,,,,,,,,
the receiver is on vacation-UPS UK-Delivery rescheduled due to holiday closures,the receiver is on vacation,RegEx,4b22eecd-bdb4-4030-a64b-f7f1f7a8bf37,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery rescheduled due to holiday closures,Package on hold for delivery,,,,,,,,
delivery rescheduled due to the holiday-UPS UK-Delivery rescheduled due to holiday closures,delivery rescheduled due to the holiday,RegEx,4b22eecd-bdb4-4030-a64b-f7f1f7a8bf37,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery rescheduled due to holiday closures,Delivery rescheduled due to holiday closures,,,,,,,,
there is an inadequate description of the merchandise more documentation required-UPS UK-Shipment is held to verify commodity description for correct classification,there is an inadequate description of the merchandise more documentation required,RegEx,756b914a-2d36-4de9-87b2-588443c88916,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment is held to verify commodity description for correct classification,Shipment is held to verify commodity description for correct classification,,,,,,,,
the shipment is being held commodity description information must be validated by the sender-UPS UK-Shipment is held to verify commodity description for correct classification,the shipment is being held commodity description information must be validated by the sender,RegEx,756b914a-2d36-4de9-87b2-588443c88916,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment is held to verify commodity description for correct classification,Shipment is held to verify commodity description for correct classification,,,,,,,,
shipment is held to verify commodity description with the customer for correct classification-UPS UK-Shipment is held to verify commodity description for correct classification,shipment is held to verify commodity description with the customer for correct classification,RegEx,756b914a-2d36-4de9-87b2-588443c88916,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment is held to verify commodity description for correct classification,Shipment is held to verify commodity description for correct classification,,,,,,,,
additional information is required your package is pending release from a government agency other than customs-UPS UK-Clearance has been delayed by customs or other government agency,additional information is required your package is pending release from a government agency other than customs,RegEx,e88ff616-6014-4117-9c92-de79a974709f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Clearance has been delayed by customs or other government agency,Clearance has been delayed by customs or other government agency,,,,,,,,
the receiver was not available at the time of the final delivery attempt label-UPS UK-Final delivery attempt. Shipment to be returned.,the receiver was not available at the time of the final delivery attempt label,RegEx,c7e17dc9-f619-4e01-b4f2-288e60670bbc,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Final delivery attempt. Shipment to be returned.,Final delivery attempt. Shipment to be returned.,,,,,,,,
the receiver was closed on the 3rd delivery attempt-UPS UK-Final delivery attempt. Shipment to be returned.,the receiver was closed on the 3rd delivery attempt,RegEx,c7e17dc9-f619-4e01-b4f2-288e60670bbc,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Final delivery attempt. Shipment to be returned.,Final delivery attempt. Shipment to be returned.,,,,,,,,
the customer was not available on 3rd attempt-UPS UK-Final delivery attempt. Shipment to be returned.,the customer was not available on 3rd attempt,RegEx,c7e17dc9-f619-4e01-b4f2-288e60670bbc,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Final delivery attempt. Shipment to be returned.,Final delivery attempt. Shipment to be returned.,,,,,,,,
invoice and receiver federal tax id required for submission to u s customs-UPS UK-Valid receiver's tax ID required for customs clearance,invoice and receiver federal tax id required for submission to u s customs,RegEx,18ce5e3f-a98f-46b5-bc06-e7f4e1299dcc,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Valid receiver's tax ID required for customs clearance,Valid receiver's tax ID required for customs clearance,,,,,,,,
a valid tax identification number or deferment number is required for clearance-UPS UK-Valid receiver's tax ID required for customs clearance,a valid tax identification number or deferment number is required for clearance,RegEx,18ce5e3f-a98f-46b5-bc06-e7f4e1299dcc,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Valid receiver's tax ID required for customs clearance,Valid receiver's tax ID required for customs clearance,,,,,,,,
a valid tax id or deferment number is missing and is required for clearance we are working to obtain this information-UPS UK-Valid receiver's tax ID required for customs clearance,a valid tax id or deferment number is missing and is required for clearance we are working to obtain this information,RegEx,18ce5e3f-a98f-46b5-bc06-e7f4e1299dcc,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Valid receiver's tax ID required for customs clearance,Valid receiver's tax ID required for customs clearance,,,,,,,,
receiver s customs broker has been assigned the shipment is now released to move in transit-UPS UK-Handover to broker for clearance,receiver s customs broker has been assigned the shipment is now released to move in transit,RegEx,790eb422-1fc4-4074-b2a7-e3330538c7a2,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Handover to broker for clearance,Handover to broker for clearance,,,,,,,,
receiver assigned clearance to non ups broker shipment is remaining in ups control-UPS UK-Handover to broker for clearance,receiver assigned clearance to non ups broker shipment is remaining in ups control,RegEx,790eb422-1fc4-4074-b2a7-e3330538c7a2,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Handover to broker for clearance,Handover to broker for clearance,,,,,,,,
as requested the package is moving in bond to a non ups off site broker for clearance-UPS UK-Handover to broker for clearance,as requested the package is moving in bond to a non ups off site broker for clearance,RegEx,790eb422-1fc4-4074-b2a7-e3330538c7a2,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Handover to broker for clearance,Handover to broker for clearance,,,,,,,,
the receiver stated the order was too expensive and refused this delivery-UPS UK-Delivery refused,the receiver stated the order was too expensive and refused this delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver stated the order was shipped too late and refused this delivery-UPS UK-Delivery refused,the receiver stated the order was shipped too late and refused this delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver refused the package domestic returned to sender international sender is contacted-UPS UK-Delivery refused,the receiver refused the package domestic returned to sender international sender is contacted,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver has canceled the product order and refused delivery label-UPS UK-Delivery refused,the receiver has canceled the product order and refused delivery label,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver had no invoice on file and refused this delivery-UPS UK-Delivery refused,the receiver had no invoice on file and refused this delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver does not accept c o d s and refused this delivery-UPS UK-Delivery refused,the receiver does not accept c o d s and refused this delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver did not want the order and refused this delivery-UPS UK-Delivery refused,the receiver did not want the order and refused this delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver determined this product order is too expensive and refused the delivery-UPS UK-Delivery refused,the receiver determined this product order is too expensive and refused the delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver determined this is a duplicate product order and has refused the delivery-UPS UK-Delivery refused,the receiver determined this is a duplicate product order and has refused the delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver determined this product order is late and has refused the delivery-UPS UK-Delivery refused,the receiver determined this product order is late and has refused the delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver canceled the order and refused this delivery-UPS UK-Delivery refused,the receiver canceled the order and refused this delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the post office attempted to deliver the ups surepost package but the receiver refused delivery-UPS UK-Delivery refused,the post office attempted to deliver the ups surepost package but the receiver refused delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
receiver stated they did not order and refused this delivery-UPS UK-Delivery refused,receiver stated they did not order and refused this delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
receiver has refused the delivery of the package domestic returned to sender international sender is contacted-UPS UK-Delivery refused,receiver has refused the delivery of the package domestic returned to sender international sender is contacted,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
after further review your package may not have arrived on schedule visit ups com-UPS UK-Carrier error delayed delivery,after further review your package may not have arrived on schedule visit ups com,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier error delayed delivery,Shipment exception – Corrective action underway,,,,,,,,
arrived late at destination city delivery is rescheduled-UPS UK-Arrived late at destination - Expect 1 business day delivery delay,arrived late at destination city delivery is rescheduled,RegEx,b7349cb4-896b-4a03-a984-8b556118a1b7,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Arrived late at destination - Expect 1 business day delivery delay,Arrived late at destination - Expect 1 business day delivery delay,,,,,,,,
your shipment is scheduled to arrive today after the delivery commitment time-UPS UK-Arrived late at destination - Expect 1 business day delivery delay,your shipment is scheduled to arrive today after the delivery commitment time,RegEx,b7349cb4-896b-4a03-a984-8b556118a1b7,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Arrived late at destination - Expect 1 business day delivery delay,Transit delay,,,,,,,,
we re unable to deliver your package-UPS UK-Unable to deliver,we re unable to deliver your package,RegEx,67224b76-1437-4890-877c-d375005362a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Unable to deliver,Unable to deliver,,,,,,,,
the company or receiver name is incorrect this will delay delivery we re attempting to update this information label-UPS UK-Correct company or receiver name needed for delivery,the company or receiver name is incorrect this will delay delivery we re attempting to update this information label,RegEx,26fc15fd-0457-44b8-8f91-b96b13ce2809,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Correct company or receiver name needed for delivery,Correct company or receiver name needed for delivery,,,,,,,,
a correct company or receiver name is needed for delivery ups is attempting to obtain this information-UPS UK-Correct company or receiver name needed for delivery,a correct company or receiver name is needed for delivery ups is attempting to obtain this information,RegEx,26fc15fd-0457-44b8-8f91-b96b13ce2809,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Correct company or receiver name needed for delivery,Correct company or receiver name needed for delivery,,,,,,,,
the receiver is not listed on the building directory ups is attempting to obtain the information and complete delivery-UPS UK-Correct company or receiver name needed for delivery,the receiver is not listed on the building directory ups is attempting to obtain the information and complete delivery,RegEx,26fc15fd-0457-44b8-8f91-b96b13ce2809,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Correct company or receiver name needed for delivery,Correct company or receiver name needed for delivery,,,,,,,,
the sender requested this package be held for pickup at a ups facility-UPS UK-Receiver to pick up shipment,the sender requested this package be held for pickup at a ups facility,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
the receiver arranged to pick up this package at a ups facility-UPS UK-Receiver to pick up shipment,the receiver arranged to pick up this package at a ups facility,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
the receiver arranged to pick up the package at a ups facility-UPS UK-Receiver to pick up shipment,the receiver arranged to pick up the package at a ups facility,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
the receiver arranged for same day will call-UPS UK-Receiver to pick up shipment,the receiver arranged for same day will call,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
the receiver arranged for same day pickup at a ups facility-UPS UK-Receiver to pick up shipment,the receiver arranged for same day pickup at a ups facility,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
the receiver agreed to pick up the package this evening-UPS UK-Receiver to pick up shipment,the receiver agreed to pick up the package this evening,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
customer has confirmed and will pick up packages this evening-UPS UK-Receiver to pick up shipment,customer has confirmed and will pick up packages this evening,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
as requested the receiver will pickup at a ups facility at their convenience this must be within 5 business days-UPS UK-Receiver to pick up shipment,as requested the receiver will pickup at a ups facility at their convenience this must be within 5 business days,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Package needs to be collected within 5 business days,,,,,,,,
as requested by the customer the receiver will pickup at a ups facility within 5 business days-UPS UK-Receiver to pick up shipment,as requested by the customer the receiver will pickup at a ups facility within 5 business days,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Package needs to be collected within 5 business days,,,,,,,,
the receiver requested the package be delivered to an alternate address-UPS UK-Delivery to alternative address requested,the receiver requested the package be delivered to an alternate address,RegEx,cae871bc-b874-4a61-9b2a-d980d6afcb21,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery to alternative address requested,Delivery to alternative address requested,,,,,,,,
the receiver requested a temporary change to the delivery address-UPS UK-Delivery to alternative address requested,the receiver requested a temporary change to the delivery address,RegEx,cae871bc-b874-4a61-9b2a-d980d6afcb21,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery to alternative address requested,Delivery to alternative address requested,,,,,,,,
receiver requested temporary change of address-UPS UK-Delivery to alternative address requested,receiver requested temporary change of address,RegEx,cae871bc-b874-4a61-9b2a-d980d6afcb21,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery to alternative address requested,Delivery to alternative address requested,,,,,,,,
shipment released too late for scheduled aircraft or truck departure-UPS UK-Package was cleared after the scheduled departure. Expect a 1 business day delay,shipment released too late for scheduled aircraft or truck departure,RegEx,48e436f7-9dba-46dd-8d47-ff3566eaa9c2,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package was cleared after the scheduled departure. Expect a 1 business day delay,Package was cleared after the scheduled departure. Expect a 1 business day delay,,,,,,,,
delivery to ups retail location pending-UPS UK-Delivery to pick-up point pending,delivery to ups retail location pending,RegEx,836f52ff-3538-4879-9a97-d681154a864f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery to pick-up point pending,Delivery to pick-up point pending,,,,,,,,
delivery to ups access point location is pending-UPS UK-Delivery to pick-up point pending,delivery to ups access point location is pending,RegEx,836f52ff-3538-4879-9a97-d681154a864f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery to pick-up point pending,Delivery to pick-up point pending,,,,,,,,
return to shipper pending-UPS UK-Shipment to be returned,return to shipper pending,RegEx,5ea46330-cc6d-4f62-b891-7e347342f3dd,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment to be returned,Shipment to be returned,,,,,,,,
return to sender pending-UPS UK-Shipment to be returned,return to sender pending,RegEx,5ea46330-cc6d-4f62-b891-7e347342f3dd,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment to be returned,Shipment to be returned,,,,,,,,
